station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
BAHIA_BLANCA_AERO,02/ENE/2022,00Hs,23.5,304,18,0.0
BAHIA_BLANCA_AERO,02/ENE/2022,03Hs,23.7,269,29,0.0
BAHIA_BLANCA_AERO,02/ENE/2022,06Hs,21.7,279,15,0.0
BAHIA_BLANCA_AERO,02/ENE/2022,09Hs,25.6,268,30,0.0
BAHIA_BLANCA_AERO,02/ENE/2022,12Hs,30.0,252,35,0.0
BAHIA_BLANCA_AERO,02/ENE/2022,15Hs,26.5,227,41,0.0
BAHIA_BLANCA_AERO,02/ENE/2022,18Hs,25.8,261,29,0.0
BAHIA_BLANCA_AERO,02/ENE/2022,21Hs,25.7,256,27,0.0
BAHIA_BLANCA_AERO,03/ENE/2022,00Hs,18.9,141,23,0.0
BAHIA_BLANCA_AERO,03/ENE/2022,03Hs,16.0,40,11,0.0
BAHIA_BLANCA_AERO,03/ENE/2022,06Hs,15.1,1,11,0.0
BAHIA_BLANCA_AERO,03/ENE/2022,09Hs,23.3,297,23,0.0
BAHIA_BLANCA_AERO,03/ENE/2022,12Hs,28.1,282,35,0.0
BAHIA_BLANCA_AERO,03/ENE/2022,15Hs,32.1,271,34,0.0
BAHIA_BLANCA_AERO,03/ENE/2022,18Hs,32.9,292,38,0.0
BAHIA_BLANCA_AERO,03/ENE/2022,21Hs,29.3,282,20,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,00Hs,25.0,248,17,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,03Hs,23.5,264,23,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,06Hs,19.9,266,20,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,09Hs,23.3,248,33,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,12Hs,26.4,200,32,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,15Hs,25.3,149,25,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,18Hs,23.1,138,27,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,21Hs,17.4,116,21,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,00Hs,15.1,71,13,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,03Hs,13.2,37,14,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,06Hs,12.7,39,13,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,09Hs,20.3,47,13,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,12Hs,25.8,78,9,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,15Hs,29.5,127,11,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,18Hs,29.3,105,26,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,21Hs,23.6,74,27,0.0
BARILOCHE_AERO,01/ENE/2022,00Hs,5.6,299,20,2.4
BARILOCHE_AERO,01/ENE/2022,03Hs,5.7,300,21,1.8
BARILOCHE_AERO,01/ENE/2022,06Hs,6.1,304,19,3.6
BARILOCHE_AERO,01/ENE/2022,09Hs,6.7,298,23,3.4
BARILOCHE_AERO,01/ENE/2022,12Hs,6.6,296,26,4.1
BARILOCHE_AERO,01/ENE/2022,15Hs,7.5,298,33,5.1
BARILOCHE_AERO,01/ENE/2022,18Hs,8.3,303,29,11.0
BARILOCHE_AERO,01/ENE/2022,21Hs,8.9,317,30,18.4
BARILOCHE_AERO,02/ENE/2022,00Hs,9.0,289,17,19.2
BARILOCHE_AERO,02/ENE/2022,03Hs,7.7,298,18,14.6
BARILOCHE_AERO,02/ENE/2022,06Hs,4.7,288,22,1.4
BARILOCHE_AERO,02/ENE/2022,09Hs,6.4,297,27,0.0
BARILOCHE_AERO,02/ENE/2022,12Hs,8.9,295,33,0.1
BARILOCHE_AERO,02/ENE/2022,15Hs,10.3,292,34,0.0
BARILOCHE_AERO,02/ENE/2022,18Hs,11.7,288,33,0.0
BARILOCHE_AERO,02/ENE/2022,21Hs,8.0,301,24,0.0
BARILOCHE_AERO,03/ENE/2022,00Hs,4.3,299,20,0.0
BARILOCHE_AERO,03/ENE/2022,03Hs,2.9,300,20,0.0
BARILOCHE_AERO,03/ENE/2022,06Hs,4.0,317,15,1.8
BARILOCHE_AERO,03/ENE/2022,09Hs,6.9,304,17,4.4
BARILOCHE_AERO,03/ENE/2022,12Hs,9.9,296,26,3.5
BARILOCHE_AERO,03/ENE/2022,15Hs,10.2,295,30,2.6
BARILOCHE_AERO,03/ENE/2022,18Hs,10.3,296,35,1.2
BARILOCHE_AERO,03/ENE/2022,21Hs,8.5,291,33,0.7
BARILOCHE_AERO,04/ENE/2022,00Hs,6.2,299,28,0.0
BARILOCHE_AERO,04/ENE/2022,03Hs,4.6,292,25,0.0
BARILOCHE_AERO,04/ENE/2022,06Hs,3.5,290,22,0.0
BARILOCHE_AERO,04/ENE/2022,09Hs,6.2,301,24,0.0
BARILOCHE_AERO,04/ENE/2022,12Hs,8.5,305,15,0.0
BARILOCHE_AERO,04/ENE/2022,15Hs,13.7,293,16,0.0
BARILOCHE_AERO,04/ENE/2022,18Hs,14.4,289,16,0.0
BARILOCHE_AERO,04/ENE/2022,21Hs,10.0,298,13,0.0
BARILOCHE_AERO,05/ENE/2022,00Hs,6.3,283,9,0.0
BARILOCHE_AERO,05/ENE/2022,03Hs,5.3,280,5,0.0
BARILOCHE_AERO,05/ENE/2022,06Hs,4.7,227,3,0.0
BARILOCHE_AERO,05/ENE/2022,09Hs,9.4,161,3,0.0
BARILOCHE_AERO,05/ENE/2022,12Hs,15.4,63,1,0.0
BARILOCHE_AERO,05/ENE/2022,15Hs,18.2,5,4,0.0
BARILOCHE_AERO,05/ENE/2022,18Hs,19.0,321,4,0.0
BARILOCHE_AERO,05/ENE/2022,21Hs,14.8,267,3,0.0
BENITO_JUAREZ_AERO,01/ENE/2022,00Hs,17.9,107,11,0.0
BENITO_JUAREZ_AERO,01/ENE/2022,03Hs,17.4,36,11,0.0
BENITO_JUAREZ_AERO,01/ENE/2022,06Hs,15.8,338,6,0.0
BENITO_JUAREZ_AERO,01/ENE/2022,09Hs,25.0,232,23,0.0
BENITO_JUAREZ_AERO,01/ENE/2022,12Hs,30.7,244,15,0.0
BENITO_JUAREZ_AERO,01/ENE/2022,15Hs,33.8,291,19,0.0
BENITO_JUAREZ_AERO,01/ENE/2022,18Hs,33.2,252,24,0.0
BENITO_JUAREZ_AERO,01/ENE/2022,21Hs,23.6,209,15,0.0
BENITO_JUAREZ_AERO,02/ENE/2022,00Hs,18.0,58,15,0.0
BENITO_JUAREZ_AERO,02/ENE/2022,03Hs,18.1,21,12,0.0
BENITO_JUAREZ_AERO,02/ENE/2022,06Hs,18.3,285,10,0.0
BENITO_JUAREZ_AERO,02/ENE/2022,09Hs,25.9,243,15,0.0
BENITO_JUAREZ_AERO,02/ENE/2022,12Hs,31.5,251,13,0.0
BENITO_JUAREZ_AERO,02/ENE/2022,15Hs,34.7,274,16,0.0
BENITO_JUAREZ_AERO,02/ENE/2022,18Hs,27.8,209,37,0.0
BENITO_JUAREZ_AERO,02/ENE/2022,21Hs,18.8,92,15,0.0
BENITO_JUAREZ_AERO,03/ENE/2022,00Hs,17.0,30,14,0.0
BENITO_JUAREZ_AERO,03/ENE/2022,03Hs,15.6,357,11,0.0
BENITO_JUAREZ_AERO,03/ENE/2022,06Hs,14.0,298,9,0.0
BENITO_JUAREZ_AERO,03/ENE/2022,09Hs,23.6,308,22,0.0
BENITO_JUAREZ_AERO,03/ENE/2022,12Hs,31.1,284,29,0.0
BENITO_JUAREZ_AERO,03/ENE/2022,15Hs,34.3,272,22,0.0
BENITO_JUAREZ_AERO,03/ENE/2022,18Hs,34.1,274,22,0.0
BENITO_JUAREZ_AERO,03/ENE/2022,21Hs,24.8,194,13,0.0
BENITO_JUAREZ_AERO,04/ENE/2022,00Hs,19.9,53,12,0.0
BENITO_JUAREZ_AERO,04/ENE/2022,03Hs,21.1,264,15,0.0
BENITO_JUAREZ_AERO,04/ENE/2022,06Hs,20.1,233,14,0.0
BENITO_JUAREZ_AERO,04/ENE/2022,09Hs,24.9,235,25,0.0
BENITO_JUAREZ_AERO,04/ENE/2022,12Hs,28.9,220,26,0.0
BENITO_JUAREZ_AERO,04/ENE/2022,15Hs,30.9,214,28,0.0
BENITO_JUAREZ_AERO,04/ENE/2022,18Hs,23.6,182,30,0.0
BENITO_JUAREZ_AERO,04/ENE/2022,21Hs,15.8,158,25,0.0
BENITO_JUAREZ_AERO,05/ENE/2022,00Hs,11.1,136,11,0.0
BENITO_JUAREZ_AERO,05/ENE/2022,03Hs,9.5,99,7,0.0
BENITO_JUAREZ_AERO,05/ENE/2022,06Hs,8.9,116,6,0.0
BENITO_JUAREZ_AERO,05/ENE/2022,09Hs,17.6,113,9,0.0
BENITO_JUAREZ_AERO,05/ENE/2022,12Hs,24.9,121,13,0.0
BENITO_JUAREZ_AERO,05/ENE/2022,15Hs,28.9,127,15,0.0
BENITO_JUAREZ_AERO,05/ENE/2022,18Hs,28.7,116,17,0.0
BENITO_JUAREZ_AERO,05/ENE/2022,21Hs,20.3,102,25,0.0
BERNARDO_DE_IRIGOYEN_AERO,01/ENE/2022,00Hs,16.6,67,6,0.0
BERNARDO_DE_IRIGOYEN_AERO,01/ENE/2022,03Hs,15.8,63,5,0.0
BERNARDO_DE_IRIGOYEN_AERO,01/ENE/2022,06Hs,15.2,70,5,0.0
BERNARDO_DE_IRIGOYEN_AERO,01/ENE/2022,09Hs,24.0,35,9,0.0
BERNARDO_DE_IRIGOYEN_AERO,01/ENE/2022,12Hs,30.4,40,6,0.0
BERNARDO_DE_IRIGOYEN_AERO,01/ENE/2022,15Hs,32.2,61,7,0.0
BERNARDO_DE_IRIGOYEN_AERO,01/ENE/2022,18Hs,30.3,45,2,0.0
BERNARDO_DE_IRIGOYEN_AERO,01/ENE/2022,21Hs,25.1,175,4,0.0
BERNARDO_DE_IRIGOYEN_AERO,02/ENE/2022,00Hs,20.4,64,7,0.0
BERNARDO_DE_IRIGOYEN_AERO,02/ENE/2022,03Hs,19.1,62,7,0.0
BERNARDO_DE_IRIGOYEN_AERO,02/ENE/2022,06Hs,18.5,40,8,0.0
BERNARDO_DE_IRIGOYEN_AERO,02/ENE/2022,09Hs,25.6,6,16,0.0
BERNARDO_DE_IRIGOYEN_AERO,02/ENE/2022,12Hs,31.0,347,14,0.0
BERNARDO_DE_IRIGOYEN_AERO,02/ENE/2022,15Hs,34.4,352,7,0.0
BERNARDO_DE_IRIGOYEN_AERO,02/ENE/2022,18Hs,31.8,47,11,0.0
