station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
AZUL_AERO,08/ENE/2022,21Hs,27.8,68,30,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,00Hs,25.7,269,21,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,03Hs,23.4,260,34,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,06Hs,20.5,247,29,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,09Hs,21.7,182,28,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,12Hs,24.0,199,25,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,15Hs,26.0,195,29,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,18Hs,21.0,135,29,0.0
BAHIA_BLANCA_AERO,04/ENE/2022,21Hs,16.5,118,21,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,00Hs,14.3,71,16,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,03Hs,12.5,33,19,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,06Hs,12.1,29,13,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,09Hs,21.8,3,14,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,12Hs,26.8,307,7,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,15Hs,30.3,219,5,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,18Hs,30.4,110,18,0.0
BAHIA_BLANCA_AERO,05/ENE/2022,21Hs,23.6,81,20,0.0
BAHIA_BLANCA_AERO,06/ENE/2022,00Hs,21.6,41,16,0.0
BAHIA_BLANCA_AERO,06/ENE/2022,03Hs,20.1,13,30,0.0
BAHIA_BLANCA_AERO,06/ENE/2022,06Hs,18.2,353,21,0.0
BAHIA_BLANCA_AERO,06/ENE/2022,09Hs,26.4,330,32,0.0
BAHIA_BLANCA_AERO,06/ENE/2022,12Hs,32.3,321,28,0.0
BAHIA_BLANCA_AERO,06/ENE/2022,15Hs,35.2,348,19,0.0
BAHIA_BLANCA_AERO,06/ENE/2022,18Hs,34.8,15,22,0.0
