station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
AEROPARQUE,22/ABR/2022,00Hs,12.9,13,7,0.0,-34.57 -58.42
AEROPARQUE,22/ABR/2022,03Hs,14.7,6,16,0.0,-34.57 -58.42
AEROPARQUE,22/ABR/2022,06Hs,11.4,301,9,0.1,-34.57 -58.42
AEROPARQUE,22/ABR/2022,09Hs,11.7,315,5,1.6,-34.57 -58.42
AEROPARQUE,22/ABR/2022,12Hs,15.6,237,8,0.0,-34.57 -58.42
AEROPARQUE,22/ABR/2022,15Hs,11.5,261,13,0.2,-34.57 -58.42
AEROPARQUE,22/ABR/2022,18Hs,11.2,275,11,0.0,-34.57 -58.42
AEROPARQUE,22/ABR/2022,21Hs,9.2,265,12,0.0,-34.57 -58.42
AEROPARQUE,23/ABR/2022,00Hs,7.5,266,8,0.0,-34.57 -58.42
AEROPARQUE,23/ABR/2022,03Hs,7.0,263,7,0.0,-34.57 -58.42
AEROPARQUE,23/ABR/2022,06Hs,5.8,302,8,0.0,-34.57 -58.42
AEROPARQUE,23/ABR/2022,09Hs,9.9,306,8,0.0,-34.57 -58.42
AEROPARQUE,23/ABR/2022,12Hs,19.0,318,11,0.0,-34.57 -58.42
AEROPARQUE,23/ABR/2022,15Hs,22.3,317,12,0.0,-34.57 -58.42
AEROPARQUE,23/ABR/2022,18Hs,18.7,339,11,0.0,-34.57 -58.42
AEROPARQUE,23/ABR/2022,21Hs,12.7,344,9,0.0,-34.57 -58.42
AEROPARQUE,24/ABR/2022,00Hs,11.7,342,9,0.0,-34.57 -58.42
AEROPARQUE,24/ABR/2022,03Hs,10.8,339,11,0.0,-34.57 -58.42
AEROPARQUE,24/ABR/2022,06Hs,10.4,354,10,0.0,-34.57 -58.42
AEROPARQUE,24/ABR/2022,09Hs,13.7,5,12,0.0,-34.57 -58.42
AEROPARQUE,24/ABR/2022,12Hs,21.4,7,16,0.0,-34.57 -58.42
AEROPARQUE,24/ABR/2022,15Hs,22.2,3,14,0.0,-34.57 -58.42
AEROPARQUE,24/ABR/2022,18Hs,20.2,1,12,0.0,-34.57 -58.42
AEROPARQUE,24/ABR/2022,21Hs,19.2,17,12,0.0,-34.57 -58.42
AEROPARQUE,25/ABR/2022,00Hs,19.8,15,12,0.1,-34.57 -58.42
