station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
AEROPARQUE,28/MAR/2022,00Hs,15.1,344,5,0.0,-34.57 -58.42
AEROPARQUE,28/MAR/2022,03Hs,13.8,339,5,0.0,-34.57 -58.42
AEROPARQUE,28/MAR/2022,06Hs,12.9,346,6,0.0,-34.57 -58.42
AEROPARQUE,28/MAR/2022,09Hs,18.0,10,8,0.0,-34.57 -58.42
AEROPARQUE,28/MAR/2022,12Hs,24.5,19,14,0.0,-34.57 -58.42
AEROPARQUE,28/MAR/2022,15Hs,25.7,1,15,0.0,-34.57 -58.42
AEROPARQUE,28/MAR/2022,18Hs,22.5,13,11,0.0,-34.57 -58.42
AEROPARQUE,28/MAR/2022,21Hs,17.5,13,8,0.0,-34.57 -58.42
AEROPARQUE,29/MAR/2022,00Hs,16.1,4,8,0.0,-34.57 -58.42
AEROPARQUE,29/MAR/2022,03Hs,15.2,6,6,0.0,-34.57 -58.42
AEROPARQUE,29/MAR/2022,06Hs,14.6,1,7,0.0,-34.57 -58.42
AEROPARQUE,29/MAR/2022,09Hs,19.1,349,11,0.0,-34.57 -58.42
AEROPARQUE,29/MAR/2022,12Hs,26.9,294,10,0.0,-34.57 -58.42
AEROPARQUE,29/MAR/2022,15Hs,23.2,232,13,0.3,-34.57 -58.42
AEROPARQUE,29/MAR/2022,18Hs,15.0,200,17,2.1,-34.57 -58.42
AEROPARQUE,29/MAR/2022,21Hs,13.8,208,16,0.4,-34.57 -58.42
AEROPARQUE,30/MAR/2022,00Hs,12.7,218,13,0.0,-34.57 -58.42
AEROPARQUE,30/MAR/2022,03Hs,9.0,236,10,0.0,-34.57 -58.42
AEROPARQUE,30/MAR/2022,06Hs,8.9,211,18,0.0,-34.57 -58.42
AEROPARQUE,30/MAR/2022,09Hs,11.2,216,19,0.0,-34.57 -58.42
AEROPARQUE,30/MAR/2022,12Hs,15.1,217,19,0.0,-34.57 -58.42
AEROPARQUE,30/MAR/2022,15Hs,16.7,215,18,0.0,-34.57 -58.42
AEROPARQUE,30/MAR/2022,18Hs,15.5,204,14,0.0,-34.57 -58.42
AEROPARQUE,30/MAR/2022,21Hs,12.8,176,9,0.0,-34.57 -58.42
AEROPARQUE,31/MAR/2022,00Hs,9.4,190,7,0.0,-34.57 -58.42
AEROPARQUE,31/MAR/2022,03Hs,7.6,225,6,0.0,-34.57 -58.42
AEROPARQUE,31/MAR/2022,06Hs,6.3,248,5,0.0,-34.57 -58.42
AEROPARQUE,31/MAR/2022,09Hs,10.9,219,6,0.0,-34.57 -58.42
AEROPARQUE,31/MAR/2022,12Hs,15.8,173,7,0.0,-34.57 -58.42
AEROPARQUE,31/MAR/2022,15Hs,16.7,115,10,0.0,-34.57 -58.42
AEROPARQUE,31/MAR/2022,18Hs,14.5,80,7,0.0,-34.57 -58.42
AEROPARQUE,31/MAR/2022,21Hs,10.4,24,2,0.0,-34.57 -58.42
AEROPARQUE,01/ABR/2022,00Hs,9.4,5,4,0.0,-34.57 -58.42
AEROPARQUE,01/ABR/2022,03Hs,8.2,5,4,0.0,-34.57 -58.42
AEROPARQUE,01/ABR/2022,06Hs,7.3,4,5,0.0,-34.57 -58.42
AEROPARQUE,01/ABR/2022,09Hs,13.0,48,6,0.0,-34.57 -58.42
AEROPARQUE,01/ABR/2022,12Hs,17.7,88,9,0.0,-34.57 -58.42
AEROPARQUE,01/ABR/2022,15Hs,18.6,113,10,0.0,-34.57 -58.42
AEROPARQUE,01/ABR/2022,18Hs,16.0,117,10,0.0,-34.57 -58.42
AEROPARQUE,01/ABR/2022,21Hs,14.9,86,16,0.0,-34.57 -58.42
AZUL_AERO,28/MAR/2022,00Hs,13.2,147,4,0.0,-36.83 -59.88
AZUL_AERO,28/MAR/2022,03Hs,12.0,57,9,0.0,-36.83 -59.88
AZUL_AERO,28/MAR/2022,06Hs,10.4,52,12,0.0,-36.83 -59.88
AZUL_AERO,28/MAR/2022,09Hs,14.5,33,14,0.0,-36.83 -59.88
AZUL_AERO,28/MAR/2022,12Hs,22.1,2,23,0.0,-36.83 -59.88
AZUL_AERO,28/MAR/2022,15Hs,24.9,350,27,0.0,-36.83 -59.88
AZUL_AERO,28/MAR/2022,18Hs,22.1,359,19,0.0,-36.83 -59.88
AZUL_AERO,28/MAR/2022,21Hs,16.7,8,13,0.0,-36.83 -59.88
AZUL_AERO,29/MAR/2022,00Hs,16.0,12,16,0.0,-36.83 -59.88
AZUL_AERO,29/MAR/2022,03Hs,15.5,352,18,0.0,-36.83 -59.88
AZUL_AERO,29/MAR/2022,06Hs,15.2,287,13,0.4,-36.83 -59.88
AZUL_AERO,29/MAR/2022,09Hs,15.3,252,14,1.8,-36.83 -59.88
AZUL_AERO,29/MAR/2022,12Hs,19.0,225,29,0.4,-36.83 -59.88
AZUL_AERO,29/MAR/2022,15Hs,19.1,235,34,0.0,-36.83 -59.88
AZUL_AERO,29/MAR/2022,18Hs,15.5,229,26,0.0,-36.83 -59.88
AZUL_AERO,29/MAR/2022,21Hs,9.3,245,14,0.0,-36.83 -59.88
