station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
AEROPARQUE,08/MAR/2022,00Hs,15.4,275,7,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,03Hs,13.6,273,8,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,06Hs,13.4,233,7,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,09Hs,18.9,225,4,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,12Hs,24.7,89,8,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,15Hs,25.7,95,10,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,18Hs,22.4,104,10,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,21Hs,18.3,102,8,0.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,00Hs,16.5,12,6,0.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,03Hs,16.5,20,6,0.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,06Hs,16.4,342,6,0.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,09Hs,15.6,40,5,2.2,-34.57 -58.42
AEROPARQUE,09/MAR/2022,12Hs,16.6,14,3,2.1,-34.57 -58.42
AEROPARQUE,09/MAR/2022,15Hs,17.1,180,4,4.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,18Hs,17.7,135,6,2.3,-34.57 -58.42
AEROPARQUE,09/MAR/2022,21Hs,18.5,122,6,0.9,-34.57 -58.42
AEROPARQUE,10/MAR/2022,00Hs,18.4,70,4,0.2,-34.57 -58.42
AEROPARQUE,10/MAR/2022,03Hs,18.1,21,2,1.1,-34.57 -58.42
AEROPARQUE,10/MAR/2022,06Hs,17.8,187,7,0.2,-34.57 -58.42
AEROPARQUE,10/MAR/2022,09Hs,18.7,181,13,0.2,-34.57 -58.42
AEROPARQUE,10/MAR/2022,12Hs,21.4,142,13,0.0,-34.57 -58.42
AEROPARQUE,10/MAR/2022,15Hs,23.1,110,16,0.2,-34.57 -58.42
AEROPARQUE,10/MAR/2022,18Hs,19.2,119,17,1.2,-34.57 -58.42
AEROPARQUE,10/MAR/2022,21Hs,18.2,110,16,0.0,-34.57 -58.42
AEROPARQUE,11/MAR/2022,00Hs,17.2,113,14,0.0,-34.57 -58.42
AEROPARQUE,11/MAR/2022,03Hs,16.8,135,13,0.0,-34.57 -58.42
AEROPARQUE,11/MAR/2022,06Hs,14.5,163,13,0.0,-34.57 -58.42
AEROPARQUE,11/MAR/2022,09Hs,16.4,176,12,0.0,-34.57 -58.42
AEROPARQUE,11/MAR/2022,12Hs,20.3,173,11,0.0,-34.57 -58.42
AEROPARQUE,11/MAR/2022,15Hs,21.9,147,11,0.0,-34.57 -58.42
AEROPARQUE,11/MAR/2022,18Hs,20.6,118,7,0.0,-34.57 -58.42
AEROPARQUE,11/MAR/2022,21Hs,15.9,91,9,0.0,-34.57 -58.42
AEROPARQUE,12/MAR/2022,00Hs,14.9,69,8,0.0,-34.57 -58.42
AEROPARQUE,12/MAR/2022,03Hs,13.8,62,7,0.0,-34.57 -58.42
AEROPARQUE,12/MAR/2022,06Hs,12.5,40,6,0.0,-34.57 -58.42
AEROPARQUE,12/MAR/2022,09Hs,16.9,52,7,0.0,-34.57 -58.42
AEROPARQUE,12/MAR/2022,12Hs,20.3,94,11,0.0,-34.57 -58.42
AEROPARQUE,12/MAR/2022,15Hs,21.5,112,10,0.0,-34.57 -58.42
AEROPARQUE,12/MAR/2022,18Hs,19.5,124,10,0.0,-34.57 -58.42
AEROPARQUE,12/MAR/2022,21Hs,16.0,97,9,0.0,-34.57 -58.42
AZUL_AERO,08/MAR/2022,00Hs,13.4,223,12,0.0,-36.83 -59.88
AZUL_AERO,08/MAR/2022,03Hs,12.4,252,7,0.0,-36.83 -59.88
AZUL_AERO,08/MAR/2022,06Hs,11.5,282,9,0.0,-36.83 -59.88
AZUL_AERO,08/MAR/2022,09Hs,16.9,283,8,0.0,-36.83 -59.88
AZUL_AERO,08/MAR/2022,12Hs,24.2,309,12,0.0,-36.83 -59.88
AZUL_AERO,08/MAR/2022,15Hs,26.3,349,17,0.0,-36.83 -59.88
AZUL_AERO,08/MAR/2022,18Hs,24.2,3,18,0.0,-36.83 -59.88
AZUL_AERO,08/MAR/2022,21Hs,17.1,13,13,0.0,-36.83 -59.88
AZUL_AERO,09/MAR/2022,00Hs,14.2,20,11,0.0,-36.83 -59.88
AZUL_AERO,09/MAR/2022,03Hs,12.6,1,9,0.0,-36.83 -59.88
AZUL_AERO,09/MAR/2022,06Hs,11.9,281,7,0.0,-36.83 -59.88
AZUL_AERO,09/MAR/2022,09Hs,17.3,7,10,0.0,-36.83 -59.88
AZUL_AERO,09/MAR/2022,12Hs,23.3,220,10,0.0,-36.83 -59.88
AZUL_AERO,09/MAR/2022,15Hs,26.2,218,3,0.0,-36.83 -59.88
AZUL_AERO,09/MAR/2022,18Hs,25.3,254,2,0.0,-36.83 -59.88
AZUL_AERO,09/MAR/2022,21Hs,20.7,166,22,0.0,-36.83 -59.88
AZUL_AERO,10/MAR/2022,00Hs,17.1,135,20,0.0,-36.83 -59.88
AZUL_AERO,10/MAR/2022,03Hs,15.5,123,15,0.0,-36.83 -59.88
AZUL_AERO,10/MAR/2022,06Hs,14.2,141,9,0.0,-36.83 -59.88
AZUL_AERO,10/MAR/2022,09Hs,16.3,148,11,0.0,-36.83 -59.88
AZUL_AERO,10/MAR/2022,12Hs,22.1,157,14,0.0,-36.83 -59.88
AZUL_AERO,10/MAR/2022,15Hs,23.8,168,14,0.0,-36.83 -59.88
AZUL_AERO,10/MAR/2022,18Hs,22.5,164,12,0.0,-36.83 -59.88
AZUL_AERO,10/MAR/2022,21Hs,15.8,153,26,0.0,-36.83 -59.88
AZUL_AERO,11/MAR/2022,00Hs,11.8,160,15,0.0,-36.83 -59.88
AZUL_AERO,11/MAR/2022,03Hs,8.6,170,5,0.0,-36.83 -59.88
AZUL_AERO,11/MAR/2022,06Hs,7.6,215,9,0.0,-36.83 -59.88
AZUL_AERO,11/MAR/2022,09Hs,13.5,189,14,0.0,-36.83 -59.88
AZUL_AERO,11/MAR/2022,12Hs,19.3,175,15,0.0,-36.83 -59.88
AZUL_AERO,11/MAR/2022,15Hs,21.8,198,17,0.0,-36.83 -59.88
AZUL_AERO,11/MAR/2022,18Hs,21.1,177,11,0.0,-36.83 -59.88
AZUL_AERO,11/MAR/2022,21Hs,13.8,97,7,0.0,-36.83 -59.88
AZUL_AERO,12/MAR/2022,00Hs,11.1,100,12,0.0,-36.83 -59.88
AZUL_AERO,12/MAR/2022,03Hs,8.6,67,12,0.0,-36.83 -59.88
AZUL_AERO,12/MAR/2022,06Hs,7.8,58,9,0.0,-36.83 -59.88
AZUL_AERO,12/MAR/2022,09Hs,13.2,27,12,0.0,-36.83 -59.88
AZUL_AERO,12/MAR/2022,12Hs,21.1,347,13,0.0,-36.83 -59.88
AZUL_AERO,12/MAR/2022,15Hs,23.7,331,10,0.0,-36.83 -59.88
AZUL_AERO,12/MAR/2022,18Hs,23.1,328,5,0.0,-36.83 -59.88
AZUL_AERO,12/MAR/2022,21Hs,16.2,11,10,0.0,-36.83 -59.88
BAHIA_BLANCA_AERO,08/MAR/2022,00Hs,16.1,308,10,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,08/MAR/2022,03Hs,15.0,315,13,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,08/MAR/2022,06Hs,13.9,332,14,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,08/MAR/2022,09Hs,18.2,328,21,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,08/MAR/2022,12Hs,26.0,317,21,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,08/MAR/2022,15Hs,30.0,329,30,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,08/MAR/2022,18Hs,29.1,334,33,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,08/MAR/2022,21Hs,24.4,347,29,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,09/MAR/2022,00Hs,22.2,335,33,0.2,-38.72 -62.17
BAHIA_BLANCA_AERO,09/MAR/2022,03Hs,21.4,276,28,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,09/MAR/2022,06Hs,15.8,205,10,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,09/MAR/2022,09Hs,17.6,218,20,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,09/MAR/2022,12Hs,19.5,211,15,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,09/MAR/2022,15Hs,23.3,218,15,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,09/MAR/2022,18Hs,23.0,221,17,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,09/MAR/2022,21Hs,16.3,131,7,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,10/MAR/2022,00Hs,14.7,50,8,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,10/MAR/2022,03Hs,13.9,353,10,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,10/MAR/2022,06Hs,12.8,310,5,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,10/MAR/2022,09Hs,17.5,229,9,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,10/MAR/2022,12Hs,21.8,162,25,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,10/MAR/2022,15Hs,20.8,152,28,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,10/MAR/2022,18Hs,18.4,139,24,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,10/MAR/2022,21Hs,14.5,138,12,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,11/MAR/2022,00Hs,13.6,153,10,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,11/MAR/2022,03Hs,13.1,197,11,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,11/MAR/2022,06Hs,12.1,216,12,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,11/MAR/2022,09Hs,15.3,197,19,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,11/MAR/2022,12Hs,18.6,192,17,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,11/MAR/2022,15Hs,20.8,186,17,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,11/MAR/2022,18Hs,19.7,123,16,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,11/MAR/2022,21Hs,14.4,80,14,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,12/MAR/2022,00Hs,12.9,49,14,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,12/MAR/2022,03Hs,12.6,29,16,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,12/MAR/2022,06Hs,12.5,1,12,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,12/MAR/2022,09Hs,17.8,335,13,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,12/MAR/2022,12Hs,24.6,305,19,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,12/MAR/2022,15Hs,26.9,293,14,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,12/MAR/2022,18Hs,26.9,300,10,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,12/MAR/2022,21Hs,20.3,23,12,0.0,-38.72 -62.17
BARILOCHE_AERO,08/MAR/2022,00Hs,4.7,295,12,0.0,-41.15 -71.17
BARILOCHE_AERO,08/MAR/2022,03Hs,4.3,309,12,0.0,-41.15 -71.17
BARILOCHE_AERO,08/MAR/2022,06Hs,4.2,321,13,0.0,-41.15 -71.17
BARILOCHE_AERO,08/MAR/2022,09Hs,5.8,311,19,0.2,-41.15 -71.17
BARILOCHE_AERO,08/MAR/2022,12Hs,6.9,316,26,2.8,-41.15 -71.17
BARILOCHE_AERO,08/MAR/2022,15Hs,6.9,305,33,12.8,-41.15 -71.17
BARILOCHE_AERO,08/MAR/2022,18Hs,4.4,291,27,4.3,-41.15 -71.17
BARILOCHE_AERO,08/MAR/2022,21Hs,3.2,295,29,0.2,-41.15 -71.17
BARILOCHE_AERO,09/MAR/2022,00Hs,2.0,288,25,0.0,-41.15 -71.17
BARILOCHE_AERO,09/MAR/2022,03Hs,2.0,287,22,0.0,-41.15 -71.17
BARILOCHE_AERO,09/MAR/2022,06Hs,1.6,288,18,0.0,-41.15 -71.17
BARILOCHE_AERO,09/MAR/2022,09Hs,3.2,294,19,0.0,-41.15 -71.17
BARILOCHE_AERO,09/MAR/2022,12Hs,6.5,295,21,0.0,-41.15 -71.17
BARILOCHE_AERO,09/MAR/2022,15Hs,8.9,292,21,0.0,-41.15 -71.17
BARILOCHE_AERO,09/MAR/2022,18Hs,9.1,287,19,0.0,-41.15 -71.17
BARILOCHE_AERO,09/MAR/2022,21Hs,5.2,293,17,0.0,-41.15 -71.17
BARILOCHE_AERO,10/MAR/2022,00Hs,3.1,285,12,0.0,-41.15 -71.17
BARILOCHE_AERO,10/MAR/2022,03Hs,2.2,274,8,0.0,-41.15 -71.17
BARILOCHE_AERO,10/MAR/2022,06Hs,1.6,252,4,0.0,-41.15 -71.17
BARILOCHE_AERO,10/MAR/2022,09Hs,4.1,283,4,0.0,-41.15 -71.17
BARILOCHE_AERO,10/MAR/2022,12Hs,10.3,71,3,0.0,-41.15 -71.17
BARILOCHE_AERO,10/MAR/2022,15Hs,15.1,116,6,0.0,-41.15 -71.17
BARILOCHE_AERO,10/MAR/2022,18Hs,15.8,143,6,0.0,-41.15 -71.17
