station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
AEROPARQUE,31/OCT/2022,00Hs,8.9,191,12,0.0,-34.57 -58.42
AEROPARQUE,31/OCT/2022,03Hs,7.9,191,15,0.0,-34.57 -58.42
AEROPARQUE,31/OCT/2022,06Hs,6.1,198,14,0.0,-34.57 -58.42
AEROPARQUE,31/OCT/2022,09Hs,10.7,184,17,0.0,-34.57 -58.42
AEROPARQUE,31/OCT/2022,12Hs,14.7,176,16,0.0,-34.57 -58.42
AEROPARQUE,31/OCT/2022,15Hs,17.4,175,13,0.0,-34.57 -58.42
AEROPARQUE,31/OCT/2022,18Hs,15.6,191,23,0.0,-34.57 -58.42
AEROPARQUE,31/OCT/2022,21Hs,10.9,177,12,0.0,-34.57 -58.42
AEROPARQUE,01/NOV/2022,00Hs,9.1,168,9,0.0,-34.57 -58.42
AEROPARQUE,01/NOV/2022,03Hs,7.0,194,6,0.0,-34.57 -58.42
AEROPARQUE,01/NOV/2022,06Hs,5.3,214,7,0.0,-34.57 -58.42
AEROPARQUE,01/NOV/2022,09Hs,12.6,193,9,0.0,-34.57 -58.42
AEROPARQUE,01/NOV/2022,12Hs,16.7,137,10,0.0,-34.57 -58.42
AEROPARQUE,01/NOV/2022,15Hs,18.1,89,12,0.0,-34.57 -58.42
AEROPARQUE,01/NOV/2022,18Hs,16.9,69,7,0.0,-34.57 -58.42
AEROPARQUE,01/NOV/2022,21Hs,10.9,55,7,0.0,-34.57 -58.42
AEROPARQUE,02/NOV/2022,00Hs,8.0,360,6,0.0,-34.57 -58.42
AEROPARQUE,02/NOV/2022,03Hs,6.5,341,7,0.0,-34.57 -58.42
AEROPARQUE,02/NOV/2022,06Hs,5.8,329,6,0.0,-34.57 -58.42
AEROPARQUE,02/NOV/2022,09Hs,16.8,325,5,0.0,-34.57 -58.42
AEROPARQUE,02/NOV/2022,12Hs,23.3,73,6,0.0,-34.57 -58.42
AEROPARQUE,02/NOV/2022,15Hs,22.8,90,13,0.0,-34.57 -58.42
AEROPARQUE,02/NOV/2022,18Hs,20.9,76,7,0.0,-34.57 -58.42
AEROPARQUE,02/NOV/2022,21Hs,13.7,41,8,0.0,-34.57 -58.42
AEROPARQUE,03/NOV/2022,00Hs,12.0,20,9,0.0,-34.57 -58.42
AEROPARQUE,03/NOV/2022,03Hs,9.6,344,7,0.0,-34.57 -58.42
AEROPARQUE,03/NOV/2022,06Hs,8.7,334,7,0.0,-34.57 -58.42
AEROPARQUE,03/NOV/2022,09Hs,19.1,349,7,0.0,-34.57 -58.42
AEROPARQUE,03/NOV/2022,12Hs,24.2,76,11,0.0,-34.57 -58.42
AEROPARQUE,03/NOV/2022,15Hs,25.5,97,11,0.0,-34.57 -58.42
AEROPARQUE,03/NOV/2022,18Hs,21.1,112,10,0.0,-34.57 -58.42
AEROPARQUE,03/NOV/2022,21Hs,18.0,82,13,0.0,-34.57 -58.42
AEROPARQUE,04/NOV/2022,00Hs,13.5,57,7,0.0,-34.57 -58.42
AEROPARQUE,04/NOV/2022,03Hs,11.3,48,5,0.0,-34.57 -58.42
AEROPARQUE,04/NOV/2022,06Hs,10.6,41,6,0.0,-34.57 -58.42
AEROPARQUE,04/NOV/2022,09Hs,18.8,44,8,0.0,-34.57 -58.42
AEROPARQUE,04/NOV/2022,12Hs,23.2,101,13,0.0,-34.57 -58.42
AEROPARQUE,04/NOV/2022,15Hs,21.8,122,17,0.0,-34.57 -58.42
AEROPARQUE,04/NOV/2022,18Hs,18.5,122,21,0.0,-34.57 -58.42
