station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
AEROPARQUE,07/MAR/2022,00Hs,19.9,65,9,0.9,-34.57 -58.42
AEROPARQUE,07/MAR/2022,03Hs,20.1,356,11,1.1,-34.57 -58.42
AEROPARQUE,07/MAR/2022,06Hs,20.0,283,13,6.8,-34.57 -58.42
AEROPARQUE,07/MAR/2022,09Hs,18.8,173,14,4.6,-34.57 -58.42
AEROPARQUE,07/MAR/2022,12Hs,23.3,198,7,0.0,-34.57 -58.42
AEROPARQUE,07/MAR/2022,15Hs,26.9,217,12,0.0,-34.57 -58.42
AEROPARQUE,07/MAR/2022,18Hs,25.1,234,10,0.0,-34.57 -58.42
AEROPARQUE,07/MAR/2022,21Hs,18.4,236,7,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,00Hs,16.6,246,7,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,03Hs,15.5,235,5,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,06Hs,14.0,275,3,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,09Hs,20.1,113,2,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,12Hs,25.5,71,9,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,15Hs,27.1,77,11,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,18Hs,24.7,75,8,0.0,-34.57 -58.42
AEROPARQUE,08/MAR/2022,21Hs,18.5,95,4,0.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,00Hs,17.4,9,8,0.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,03Hs,17.1,18,7,0.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,06Hs,18.7,64,6,0.0,-34.57 -58.42
AEROPARQUE,09/MAR/2022,09Hs,17.5,94,3,4.3,-34.57 -58.42
AEROPARQUE,09/MAR/2022,12Hs,18.8,91,5,0.5,-34.57 -58.42
AEROPARQUE,09/MAR/2022,15Hs,18.7,199,1,1.4,-34.57 -58.42
AEROPARQUE,09/MAR/2022,18Hs,18.8,169,6,1.8,-34.57 -58.42
AEROPARQUE,09/MAR/2022,21Hs,18.4,151,6,0.0,-34.57 -58.42
AEROPARQUE,10/MAR/2022,00Hs,19.0,139,6,0.0,-34.57 -58.42
