station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
AEROPARQUE,22/ENE/2022,00Hs,23.0,82,14,0.1,-34.57 -58.42
AEROPARQUE,22/ENE/2022,03Hs,22.0,125,9,0.0,-34.57 -58.42
AEROPARQUE,22/ENE/2022,06Hs,22.3,105,14,0.0,-34.57 -58.42
AEROPARQUE,22/ENE/2022,09Hs,23.4,106,17,0.0,-34.57 -58.42
AEROPARQUE,22/ENE/2022,12Hs,29.1,142,16,0.0,-34.57 -58.42
AEROPARQUE,22/ENE/2022,15Hs,24.4,131,18,0.0,-34.57 -58.42
AEROPARQUE,22/ENE/2022,18Hs,25.5,134,11,0.0,-34.57 -58.42
AEROPARQUE,22/ENE/2022,21Hs,24.7,125,17,0.1,-34.57 -58.42
AEROPARQUE,23/ENE/2022,00Hs,23.5,205,18,1.6,-34.57 -58.42
AEROPARQUE,23/ENE/2022,03Hs,21.6,139,11,4.5,-34.57 -58.42
AEROPARQUE,23/ENE/2022,06Hs,21.6,283,1,2.2,-34.57 -58.42
AEROPARQUE,23/ENE/2022,09Hs,21.6,239,9,0.4,-34.57 -58.42
AEROPARQUE,23/ENE/2022,12Hs,24.1,231,3,0.4,-34.57 -58.42
AEROPARQUE,23/ENE/2022,15Hs,28.8,252,6,0.0,-34.57 -58.42
AEROPARQUE,23/ENE/2022,18Hs,26.1,123,3,0.0,-34.57 -58.42
AEROPARQUE,23/ENE/2022,21Hs,22.6,131,5,0.0,-34.57 -58.42
AEROPARQUE,24/ENE/2022,00Hs,21.8,43,5,0.0,-34.57 -58.42
AEROPARQUE,24/ENE/2022,03Hs,21.5,80,3,0.0,-34.57 -58.42
AEROPARQUE,24/ENE/2022,06Hs,20.9,111,2,0.0,-34.57 -58.42
AEROPARQUE,24/ENE/2022,09Hs,25.8,123,6,0.0,-34.57 -58.42
AEROPARQUE,24/ENE/2022,12Hs,28.7,139,12,0.0,-34.57 -58.42
AEROPARQUE,24/ENE/2022,15Hs,28.7,128,13,0.0,-34.57 -58.42
AEROPARQUE,24/ENE/2022,18Hs,25.5,126,7,1.1,-34.57 -58.42
AEROPARQUE,24/ENE/2022,21Hs,23.6,108,12,0.1,-34.57 -58.42
AEROPARQUE,25/ENE/2022,00Hs,23.2,143,7,0.1,-34.57 -58.42
AEROPARQUE,25/ENE/2022,03Hs,22.3,101,13,1.1,-34.57 -58.42
AEROPARQUE,25/ENE/2022,06Hs,22.0,148,6,2.3,-34.57 -58.42
AEROPARQUE,25/ENE/2022,09Hs,22.1,82,6,5.3,-34.57 -58.42
