station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
AEROPARQUE,19/FEB/2022,00Hs,20.2,109,14,0.0,-34.57 -58.42
AEROPARQUE,19/FEB/2022,03Hs,17.5,61,9,0.0,-34.57 -58.42
AEROPARQUE,19/FEB/2022,06Hs,15.7,60,5,0.0,-34.57 -58.42
AEROPARQUE,19/FEB/2022,09Hs,21.5,61,7,0.0,-34.57 -58.42
AEROPARQUE,19/FEB/2022,12Hs,26.3,121,11,0.0,-34.57 -58.42
AEROPARQUE,19/FEB/2022,15Hs,26.9,128,15,0.0,-34.57 -58.42
AEROPARQUE,19/FEB/2022,18Hs,24.4,113,13,0.0,-34.57 -58.42
AEROPARQUE,19/FEB/2022,21Hs,21.0,93,13,0.0,-34.57 -58.42
AEROPARQUE,20/FEB/2022,00Hs,20.3,107,12,0.0,-34.57 -58.42
AEROPARQUE,20/FEB/2022,03Hs,19.6,91,10,0.0,-34.57 -58.42
AEROPARQUE,20/FEB/2022,06Hs,18.1,15,6,0.1,-34.57 -58.42
AEROPARQUE,20/FEB/2022,09Hs,23.3,37,6,0.0,-34.57 -58.42
AEROPARQUE,20/FEB/2022,12Hs,29.6,127,9,0.0,-34.57 -58.42
AEROPARQUE,20/FEB/2022,15Hs,28.2,113,11,0.0,-34.57 -58.42
AEROPARQUE,20/FEB/2022,18Hs,26.3,122,12,0.0,-34.57 -58.42
AEROPARQUE,20/FEB/2022,21Hs,22.5,106,15,0.0,-34.57 -58.42
AEROPARQUE,21/FEB/2022,00Hs,22.2,101,13,0.0,-34.57 -58.42
AEROPARQUE,21/FEB/2022,03Hs,20.4,78,11,0.0,-34.57 -58.42
AEROPARQUE,21/FEB/2022,06Hs,18.8,118,5,0.0,-34.57 -58.42
AEROPARQUE,21/FEB/2022,09Hs,23.2,112,9,0.0,-34.57 -58.42
AEROPARQUE,21/FEB/2022,12Hs,25.9,126,14,0.0,-34.57 -58.42
AEROPARQUE,21/FEB/2022,15Hs,26.5,122,18,0.0,-34.57 -58.42
AEROPARQUE,21/FEB/2022,18Hs,23.2,106,24,0.0,-34.57 -58.42
AEROPARQUE,21/FEB/2022,21Hs,21.0,119,23,0.0,-34.57 -58.42
AEROPARQUE,22/FEB/2022,00Hs,20.9,119,20,0.0,-34.57 -58.42
AEROPARQUE,22/FEB/2022,03Hs,20.8,113,18,0.0,-34.57 -58.42
AEROPARQUE,22/FEB/2022,06Hs,20.8,112,16,0.0,-34.57 -58.42
AEROPARQUE,22/FEB/2022,09Hs,22.1,108,16,0.1,-34.57 -58.42
AEROPARQUE,22/FEB/2022,12Hs,21.3,126,15,2.2,-34.57 -58.42
AEROPARQUE,22/FEB/2022,15Hs,20.7,116,14,2.2,-34.57 -58.42
AEROPARQUE,22/FEB/2022,18Hs,22.0,107,19,1.3,-34.57 -58.42
AEROPARQUE,22/FEB/2022,21Hs,20.4,108,17,0.4,-34.57 -58.42
AEROPARQUE,23/FEB/2022,00Hs,20.4,102,14,0.1,-34.57 -58.42
AEROPARQUE,23/FEB/2022,03Hs,19.1,114,10,0.0,-34.57 -58.42
AEROPARQUE,23/FEB/2022,06Hs,18.7,109,7,0.0,-34.57 -58.42
AEROPARQUE,23/FEB/2022,09Hs,22.2,113,10,0.0,-34.57 -58.42
AEROPARQUE,23/FEB/2022,12Hs,24.6,123,13,0.0,-34.57 -58.42
AEROPARQUE,23/FEB/2022,15Hs,25.6,124,14,0.0,-34.57 -58.42
AEROPARQUE,23/FEB/2022,18Hs,23.8,120,16,0.0,-34.57 -58.42
AEROPARQUE,23/FEB/2022,21Hs,20.9,100,16,0.0,-34.57 -58.42
AZUL_AERO,19/FEB/2022,00Hs,14.0,77,13,0.0,-36.83 -59.88
AZUL_AERO,19/FEB/2022,03Hs,12.1,79,12,0.0,-36.83 -59.88
AZUL_AERO,19/FEB/2022,06Hs,12.0,82,10,0.0,-36.83 -59.88
AZUL_AERO,19/FEB/2022,09Hs,17.1,56,12,0.0,-36.83 -59.88
AZUL_AERO,19/FEB/2022,12Hs,23.6,31,10,0.0,-36.83 -59.88
AZUL_AERO,19/FEB/2022,15Hs,26.6,348,7,0.0,-36.83 -59.88
AZUL_AERO,19/FEB/2022,18Hs,26.2,17,4,0.0,-36.83 -59.88
AZUL_AERO,19/FEB/2022,21Hs,19.6,348,6,1.1,-36.83 -59.88
AZUL_AERO,20/FEB/2022,00Hs,18.0,27,7,0.0,-36.83 -59.88
AZUL_AERO,20/FEB/2022,03Hs,15.8,32,9,0.2,-36.83 -59.88
AZUL_AERO,20/FEB/2022,06Hs,14.2,55,8,0.4,-36.83 -59.88
AZUL_AERO,20/FEB/2022,09Hs,18.7,35,11,0.0,-36.83 -59.88
AZUL_AERO,20/FEB/2022,12Hs,25.9,21,12,0.0,-36.83 -59.88
AZUL_AERO,20/FEB/2022,15Hs,28.4,27,8,0.0,-36.83 -59.88
AZUL_AERO,20/FEB/2022,18Hs,27.9,48,7,0.0,-36.83 -59.88
AZUL_AERO,20/FEB/2022,21Hs,15.5,145,37,1.0,-36.83 -59.88
AZUL_AERO,21/FEB/2022,00Hs,16.1,105,25,0.3,-36.83 -59.88
AZUL_AERO,21/FEB/2022,03Hs,15.3,182,11,1.1,-36.83 -59.88
AZUL_AERO,21/FEB/2022,06Hs,14.9,102,14,0.8,-36.83 -59.88
AZUL_AERO,21/FEB/2022,09Hs,17.7,112,15,0.0,-36.83 -59.88
AZUL_AERO,21/FEB/2022,12Hs,23.9,106,18,0.0,-36.83 -59.88
AZUL_AERO,21/FEB/2022,15Hs,26.4,105,19,0.0,-36.83 -59.88
AZUL_AERO,21/FEB/2022,18Hs,25.2,102,20,0.0,-36.83 -59.88
AZUL_AERO,21/FEB/2022,21Hs,20.5,114,24,0.0,-36.83 -59.88
AZUL_AERO,22/FEB/2022,00Hs,16.6,109,21,0.0,-36.83 -59.88
AZUL_AERO,22/FEB/2022,03Hs,13.4,123,13,0.0,-36.83 -59.88
AZUL_AERO,22/FEB/2022,06Hs,15.9,125,15,0.0,-36.83 -59.88
AZUL_AERO,22/FEB/2022,09Hs,18.1,104,16,0.0,-36.83 -59.88
