station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm,location
AEROPARQUE,14/FEB/2022,00Hs,14.7,301,8,0.0,-34.57 -58.42
AEROPARQUE,14/FEB/2022,03Hs,13.7,284,8,0.0,-34.57 -58.42
AEROPARQUE,14/FEB/2022,06Hs,12.4,300,9,0.0,-34.57 -58.42
AEROPARQUE,14/FEB/2022,09Hs,20.6,281,7,0.0,-34.57 -58.42
AEROPARQUE,14/FEB/2022,12Hs,29.9,227,1,0.0,-34.57 -58.42
AEROPARQUE,14/FEB/2022,15Hs,30.0,90,12,0.0,-34.57 -58.42
AEROPARQUE,14/FEB/2022,18Hs,28.2,89,9,0.0,-34.57 -58.42
AEROPARQUE,14/FEB/2022,21Hs,20.9,31,7,0.0,-34.57 -58.42
AEROPARQUE,15/FEB/2022,00Hs,18.8,14,7,0.0,-34.57 -58.42
AEROPARQUE,15/FEB/2022,03Hs,17.2,358,7,0.0,-34.57 -58.42
AEROPARQUE,15/FEB/2022,06Hs,15.8,352,8,0.0,-34.57 -58.42
AEROPARQUE,15/FEB/2022,09Hs,24.1,349,11,0.0,-34.57 -58.42
AEROPARQUE,15/FEB/2022,12Hs,32.8,355,11,0.0,-34.57 -58.42
AEROPARQUE,15/FEB/2022,15Hs,35.7,22,11,0.0,-34.57 -58.42
AEROPARQUE,15/FEB/2022,18Hs,34.2,30,14,0.0,-34.57 -58.42
AEROPARQUE,15/FEB/2022,21Hs,24.6,75,11,0.0,-34.57 -58.42
AEROPARQUE,16/FEB/2022,00Hs,24.7,24,12,0.0,-34.57 -58.42
AEROPARQUE,16/FEB/2022,03Hs,23.4,19,14,0.0,-34.57 -58.42
AEROPARQUE,16/FEB/2022,06Hs,21.3,16,13,0.0,-34.57 -58.42
AEROPARQUE,16/FEB/2022,09Hs,25.5,5,13,0.0,-34.57 -58.42
AEROPARQUE,16/FEB/2022,12Hs,34.4,355,10,0.0,-34.57 -58.42
AEROPARQUE,16/FEB/2022,15Hs,38.1,66,8,0.0,-34.57 -58.42
AEROPARQUE,16/FEB/2022,18Hs,34.2,85,12,0.0,-34.57 -58.42
AEROPARQUE,16/FEB/2022,21Hs,24.4,132,18,0.2,-34.57 -58.42
AEROPARQUE,17/FEB/2022,00Hs,21.4,145,24,0.0,-34.57 -58.42
AEROPARQUE,17/FEB/2022,03Hs,18.4,148,21,0.0,-34.57 -58.42
AEROPARQUE,17/FEB/2022,06Hs,17.6,143,19,0.0,-34.57 -58.42
AEROPARQUE,17/FEB/2022,09Hs,18.0,145,19,0.0,-34.57 -58.42
AEROPARQUE,17/FEB/2022,12Hs,21.4,124,20,0.0,-34.57 -58.42
AEROPARQUE,17/FEB/2022,15Hs,22.2,112,20,0.0,-34.57 -58.42
AEROPARQUE,17/FEB/2022,18Hs,20.4,108,25,0.0,-34.57 -58.42
AEROPARQUE,17/FEB/2022,21Hs,18.2,112,23,0.0,-34.57 -58.42
AEROPARQUE,18/FEB/2022,00Hs,18.2,111,20,0.0,-34.57 -58.42
AEROPARQUE,18/FEB/2022,03Hs,17.7,95,16,0.0,-34.57 -58.42
AEROPARQUE,18/FEB/2022,06Hs,17.3,97,12,0.0,-34.57 -58.42
AEROPARQUE,18/FEB/2022,09Hs,20.6,91,17,0.0,-34.57 -58.42
AEROPARQUE,18/FEB/2022,12Hs,24.1,125,14,0.0,-34.57 -58.42
AEROPARQUE,18/FEB/2022,15Hs,23.6,133,18,0.0,-34.57 -58.42
AEROPARQUE,18/FEB/2022,18Hs,22.2,124,21,0.0,-34.57 -58.42
AEROPARQUE,18/FEB/2022,21Hs,20.2,117,21,0.0,-34.57 -58.42
AZUL_AERO,14/FEB/2022,00Hs,13.8,291,14,0.0,-36.83 -59.88
AZUL_AERO,14/FEB/2022,03Hs,12.8,283,13,0.0,-36.83 -59.88
AZUL_AERO,14/FEB/2022,06Hs,12.3,279,13,0.0,-36.83 -59.88
AZUL_AERO,14/FEB/2022,09Hs,18.8,276,17,0.0,-36.83 -59.88
AZUL_AERO,14/FEB/2022,12Hs,26.2,293,18,0.0,-36.83 -59.88
AZUL_AERO,14/FEB/2022,15Hs,29.5,309,16,0.0,-36.83 -59.88
AZUL_AERO,14/FEB/2022,18Hs,28.3,314,14,0.0,-36.83 -59.88
AZUL_AERO,14/FEB/2022,21Hs,20.4,316,8,0.0,-36.83 -59.88
AZUL_AERO,15/FEB/2022,00Hs,19.7,9,13,0.0,-36.83 -59.88
AZUL_AERO,15/FEB/2022,03Hs,17.7,346,9,0.0,-36.83 -59.88
AZUL_AERO,15/FEB/2022,06Hs,16.3,351,8,0.0,-36.83 -59.88
AZUL_AERO,15/FEB/2022,09Hs,22.6,359,11,0.0,-36.83 -59.88
AZUL_AERO,15/FEB/2022,12Hs,30.4,345,15,0.0,-36.83 -59.88
AZUL_AERO,15/FEB/2022,15Hs,33.8,329,18,0.0,-36.83 -59.88
AZUL_AERO,15/FEB/2022,18Hs,32.7,329,14,0.0,-36.83 -59.88
AZUL_AERO,15/FEB/2022,21Hs,24.2,335,7,0.0,-36.83 -59.88
AZUL_AERO,16/FEB/2022,00Hs,21.8,48,14,0.0,-36.83 -59.88
AZUL_AERO,16/FEB/2022,03Hs,18.9,22,12,0.0,-36.83 -59.88
AZUL_AERO,16/FEB/2022,06Hs,17.6,12,13,0.0,-36.83 -59.88
AZUL_AERO,16/FEB/2022,09Hs,22.0,331,13,0.2,-36.83 -59.88
AZUL_AERO,16/FEB/2022,12Hs,29.9,307,15,0.1,-36.83 -59.88
AZUL_AERO,16/FEB/2022,15Hs,26.9,185,24,0.1,-36.83 -59.88
AZUL_AERO,16/FEB/2022,18Hs,24.2,162,31,0.0,-36.83 -59.88
AZUL_AERO,16/FEB/2022,21Hs,17.8,162,31,0.0,-36.83 -59.88
AZUL_AERO,17/FEB/2022,00Hs,14.5,141,24,0.0,-36.83 -59.88
AZUL_AERO,17/FEB/2022,03Hs,12.3,159,15,0.0,-36.83 -59.88
AZUL_AERO,17/FEB/2022,06Hs,9.4,153,13,0.0,-36.83 -59.88
AZUL_AERO,17/FEB/2022,09Hs,15.3,129,20,0.0,-36.83 -59.88
AZUL_AERO,17/FEB/2022,12Hs,21.0,132,17,0.0,-36.83 -59.88
AZUL_AERO,17/FEB/2022,15Hs,24.3,132,17,0.0,-36.83 -59.88
AZUL_AERO,17/FEB/2022,18Hs,23.9,119,17,0.0,-36.83 -59.88
AZUL_AERO,17/FEB/2022,21Hs,15.9,107,16,0.0,-36.83 -59.88
AZUL_AERO,18/FEB/2022,00Hs,12.6,80,21,0.0,-36.83 -59.88
AZUL_AERO,18/FEB/2022,03Hs,8.7,74,10,0.0,-36.83 -59.88
AZUL_AERO,18/FEB/2022,06Hs,7.6,87,13,0.0,-36.83 -59.88
AZUL_AERO,18/FEB/2022,09Hs,14.8,64,17,0.0,-36.83 -59.88
AZUL_AERO,18/FEB/2022,12Hs,22.4,42,18,0.0,-36.83 -59.88
AZUL_AERO,18/FEB/2022,15Hs,26.4,43,18,0.0,-36.83 -59.88
AZUL_AERO,18/FEB/2022,18Hs,26.4,46,18,0.0,-36.83 -59.88
AZUL_AERO,18/FEB/2022,21Hs,19.1,60,17,0.0,-36.83 -59.88
BAHIA_BLANCA_AERO,14/FEB/2022,00Hs,20.5,327,25,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,14/FEB/2022,03Hs,19.0,325,27,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,14/FEB/2022,06Hs,18.1,318,24,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,14/FEB/2022,09Hs,22.1,321,28,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,14/FEB/2022,12Hs,30.0,311,25,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,14/FEB/2022,15Hs,34.5,317,22,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,14/FEB/2022,18Hs,33.6,193,24,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,14/FEB/2022,21Hs,24.5,149,13,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,15/FEB/2022,00Hs,21.4,70,8,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,15/FEB/2022,03Hs,20.4,137,7,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,15/FEB/2022,06Hs,19.7,98,9,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,15/FEB/2022,09Hs,25.5,64,10,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,15/FEB/2022,12Hs,32.0,284,10,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,15/FEB/2022,15Hs,34.7,232,6,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,15/FEB/2022,18Hs,35.9,112,4,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,15/FEB/2022,21Hs,29.7,323,16,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,16/FEB/2022,00Hs,31.0,322,31,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,16/FEB/2022,03Hs,26.2,354,17,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,16/FEB/2022,06Hs,25.0,298,30,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,16/FEB/2022,09Hs,22.6,177,30,0.2,-38.72 -62.17
BAHIA_BLANCA_AERO,16/FEB/2022,12Hs,25.4,167,33,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,16/FEB/2022,15Hs,23.9,144,30,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,16/FEB/2022,18Hs,20.3,149,34,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,16/FEB/2022,21Hs,16.9,143,25,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,17/FEB/2022,00Hs,15.8,131,20,0.0,-38.72 -62.17
BAHIA_BLANCA_AERO,17/FEB/2022,03Hs,13.8,100,12,0.0,-38.72 -62.17
